Date,State_Id,TotalSamples,Negative,Positive
11-01-2021,Andaman and Nicobar Islands,195351,0,4963
12-01-2021,Andaman and Nicobar Islands,196859,0,4966
13-01-2021,Andaman and Nicobar Islands,198478,0,4969
14-01-2021,Andaman and Nicobar Islands,199805,0,4976
15-01-2021,Andaman and Nicobar Islands,200953,0,4979
16-01-2021,Andaman and Nicobar Islands,202521,0,4982
17-01-2021,Andaman and Nicobar Islands,203741,0,4983
18-01-2021,Andaman and Nicobar Islands,205411,0,4988
19-01-2021,Andaman and Nicobar Islands,206732,0,4989
20-01-2021,Andaman and Nicobar Islands,208179,0,4991
21-01-2021,Andaman and Nicobar Islands,209437,0,4991
22-01-2021,Andaman and Nicobar Islands,210762,0,4992
23-01-2021,Andaman and Nicobar Islands,212393,0,4993
24-01-2021,Andaman and Nicobar Islands,213467,0,4993
25-01-2021,Andaman and Nicobar Islands,214915,0,4994
26-01-2021,Andaman and Nicobar Islands,215858,0,4994
27-01-2021,Andaman and Nicobar Islands,217007,0,4994
28-01-2021,Andaman and Nicobar Islands,218629,0,4994
29-01-2021,Andaman and Nicobar Islands,220484,0,4994
30-01-2021,Andaman and Nicobar Islands,221876,0,4994
31-01-2021,Andaman and Nicobar Islands,223137,0,4994
01-02-2021,Andaman and Nicobar Islands,224852,0,4994
02-02-2021,Andaman and Nicobar Islands,226584,0,4994
03-02-2021,Andaman and Nicobar Islands,228290,0,4994
04-02-2021,Andaman and Nicobar Islands,230133,0,4994
05-02-2021,Andaman and Nicobar Islands,231633,0,4997
06-02-2021,Andaman and Nicobar Islands,233597,0,5000
07-02-2021,Andaman and Nicobar Islands,235072,0,5001
08-02-2021,Andaman and Nicobar Islands,236643,0,5005
09-02-2021,Andaman and Nicobar Islands,238339,0,5007
10-02-2021,Andaman and Nicobar Islands,240362,0,5007
11-02-2021,Andaman and Nicobar Islands,241833,0,5007
12-02-2021,Andaman and Nicobar Islands,243631,0,5007
13-02-2021,Andaman and Nicobar Islands,245745,0,5009
14-02-2021,Andaman and Nicobar Islands,247289,0,5009
15-02-2021,Andaman and Nicobar Islands,248562,0,5009
16-02-2021,Andaman and Nicobar Islands,250037,0,5013
17-02-2021,Andaman and Nicobar Islands,251774,0,5014
18-02-2021,Andaman and Nicobar Islands,253718,0,5014
19-02-2021,Andaman and Nicobar Islands,255675,0,5014
20-02-2021,Andaman and Nicobar Islands,257213,0,5014
21-02-2021,Andaman and Nicobar Islands,258773,0,5014
22-02-2021,Andaman and Nicobar Islands,260324,0,5015
23-02-2021,Andaman and Nicobar Islands,261719,0,5016
24-02-2021,Andaman and Nicobar Islands,263090,0,5016
25-02-2021,Andaman and Nicobar Islands,264369,0,5016
26-02-2021,Andaman and Nicobar Islands,265852,0,5017
27-02-2021,Andaman and Nicobar Islands,267209,0,5018
28-02-2021,Andaman and Nicobar Islands,268499,0,5020
01-03-2021,Andaman and Nicobar Islands,269799,0,5020
02-03-2021,Andaman and Nicobar Islands,271193,0,5020
03-03-2021,Andaman and Nicobar Islands,273010,0,5022
04-03-2021,Andaman and Nicobar Islands,274849,0,5024
05-03-2021,Andaman and Nicobar Islands,276471,0,5024
06-03-2021,Andaman and Nicobar Islands,278437,0,5024
07-03-2021,Andaman and Nicobar Islands,280041,0,0
08-03-2021,Andaman and Nicobar Islands,281955,0,5026
09-03-2021,Andaman and Nicobar Islands,283492,0,5028
10-03-2021,Andaman and Nicobar Islands,285087,0,5028
11-03-2021,Andaman and Nicobar Islands,286505,0,5028
12-03-2021,Andaman and Nicobar Islands,288197,0,5029
13-03-2021,Andaman and Nicobar Islands,290341,0,5030
14-03-2021,Andaman and Nicobar Islands,291842,0,5031
15-03-2021,Andaman and Nicobar Islands,294094,0,5031
16-03-2021,Andaman and Nicobar Islands,295827,0,5032
17-03-2021,Andaman and Nicobar Islands,297433,0,5035
18-03-2021,Andaman and Nicobar Islands,299048,0,5036
19-03-2021,Andaman and Nicobar Islands,300892,0,5038
20-03-2021,Andaman and Nicobar Islands,302566,0,5038
21-03-2021,Andaman and Nicobar Islands,304391,0,5039
22-03-2021,Andaman and Nicobar Islands,305778,0,5039
23-03-2021,Andaman and Nicobar Islands,307255,0,5039
24-03-2021,Andaman and Nicobar Islands,308812,0,5041
25-03-2021,Andaman and Nicobar Islands,310615,0,5042
26-03-2021,Andaman and Nicobar Islands,312378,0,5043
