Election_id,State_id,Constituency,Candidate_name,Party,EVM_Votes,Postal _Votes,Total _Votes,Percentage_Votes,Result
1822,Haryana,FARIDABAD,MAHESH PRATAP SHARMA,Rashtriya Vikas Party,1237,3,1240,0.08,Lost
1823,Haryana,FARIDABAD,SATAY DEO YADAV,Buland Bharat Party,953,2,955,0.06,Lost
1824,Haryana,FARIDABAD,RANDHEER SINGH ALIAS DHEERU KHATANA,Akhil Bhartiya Kisan Majdoor Party,919,5,924,0.06,Lost
1825,Haryana,FARIDABAD,SUNIL KUMAR,Independent,888,1,889,0.06,Lost
1826,Haryana,FARIDABAD,BHARAT BHUSHAN KOLI,Rashtra Nirman Party,807,1,808,0.05,Lost
1827,Haryana,FARIDABAD,SHIV NARAYAN BABA DUBEY,Kisan Mazdoor Sangharsh Party,769,2,771,0.05,Lost
1828,Haryana,FARIDABAD,GYAN CHAND BAINSLA,Samrat Mihir Bhoj Samaj Party,751,5,756,0.05,Lost
1829,Haryana,FARIDABAD,RAJESH GAUTAM,Independent,662,1,663,0.05,Lost
1830,Haryana,FARIDABAD,SWAMI RAJENDRA DEV JI,Independent,660,3,663,0.05,Lost
1831,Haryana,FARIDABAD,GIRRAJ,Independent,612,2,614,0.04,Lost
1832,Haryana,FARIDABAD,LEKHRAM DABANG,Independent,610,5,615,0.04,Lost
1833,Haryana,FARIDABAD,SHAKILA HUSSAIN,Loktantrik Janshakti Party,547,4,551,0.04,Lost
1834,Haryana,FARIDABAD,NOTA,None of the Above,6808,13,6821,0.46,Lost
1835,Haryana,GURGAON,RAO INDERJIT SINGH,Bharatiya Janata Party,805161,3175,808336,50.48,Won
1836,Haryana,GURGAON,RAJ BABBAR,Indian National Congress,731696,1561,733257,45.79,Lost
1837,Haryana,GURGAON,RAHUL YADAV FAZILPURIA,Jannayak Janta Party,13214,64,13278,0.83,Lost
1838,Haryana,GURGAON,VIJAY KHATANA,Bahujan Samaj Party,8900,46,8946,0.56,Lost
1839,Haryana,GURGAON,SORAB KHAN,Indian National Lok Dal,4897,20,4917,0.31,Lost
1840,Haryana,GURGAON,AJAY KUMAR,Independent,3527,1,3528,0.22,Lost
1841,Haryana,GURGAON,ASHOK JANGRA,Independent,3002,3,3005,0.19,Lost
1842,Haryana,GURGAON,AZAD SINGH,Independent,2744,1,2745,0.17,Lost
1843,Haryana,GURGAON,AKSHAT GAIT,Independent,2549,1,2550,0.16,Lost
1844,Haryana,GURGAON,LAL CHAND YADAV,Bharatheeya Jawan Kisan Party,2214,8,2222,0.14,Lost
1845,Haryana,GURGAON,SAMAY SINGH,Independent,1885,2,1887,0.12,Lost
1846,Haryana,GURGAON,DHARMENDER THAKRAN,Swayam Shashan Party,1402,6,1408,0.09,Lost
1847,Haryana,GURGAON,VIJAY YADAV,Jan Sewak Kranti Party,1120,1000,1120,0.07,Lost
1848,Haryana,GURGAON,ISHWAR SINGH SUTHANI,Peoples Party of India (Democratic),1110,4,1114,0.07,Lost
1849,Haryana,GURGAON,COMRADE SARWAN KUMAR GUPTA,Socialist Unity Centre Of India (COMMUNIST),1066,8,1074,0.07,Lost
1850,Haryana,GURGAON,VANDNA GULIYA,Right to Recall Party,980,20,1000,0.06,Lost
1851,Haryana,GURGAON,SAMPOORN ANAND,Rashtriya Lokswaraj Party,911,4,915,0.06,Lost
1852,Haryana,GURGAON,KUSHESHWAR  BHAGAT,Independent,794,1000,794,0.05,Lost
1853,Haryana,GURGAON,SINGH RAM,Independent,789,2,791,0.05,Lost
1854,Haryana,GURGAON,ANWAR,Social Democratic Party Of India,572,6,578,0.04,Lost
1855,Haryana,GURGAON,FAUJI JAI KAWAR TYAGI (DIXIT),Independent,469,5,474,0.03,Lost
1856,Haryana,GURGAON,AKASH VYAS,Bhartiya Shakti Chetna Party,436,3,439,0.03,Lost
1857,Haryana,GURGAON,VISHNU,Independent,436,1,437,0.03,Lost
1858,Haryana,GURGAON,NOTA,None of the Above,6377,40,6417,0.4,Lost
1859,Haryana,HISAR,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,567194,3230,570424,48.58,Won
1860,Haryana,HISAR,RANJIT SINGH,Bharatiya Janata Party,504944,2099,507043,43.19,Lost
1861,Haryana,HISAR,DESH RAJ,Bahujan Samaj Party,25892,123,26015,2.22,Lost
1862,Haryana,HISAR,SUNAINA CHAUTALA,Indian National Lok Dal,22171,132,22303,1.9,Lost
1863,Haryana,HISAR,NAINA SINGH CHAUTALA,Jannayak Janta Party,21910,122,22032,1.88,Lost
1864,Haryana,HISAR,PARDEEP DAHIYA,Independent,3607,1,3608,0.31,Lost
1865,Haryana,HISAR,JAI PRAKASH (J.P.) S/O UMA DUTT,Independent,3267,6,3273,0.28,Lost
1866,Haryana,HISAR,JILE SINGH,Independent,3196,1000,3196,0.27,Lost
1867,Haryana,HISAR,POONAM MOR,Independent,1237,4,1241,0.11,Lost
1868,Haryana,HISAR,ISHWAR JHAJHRIA,Independent,1121,1,1122,0.1,Lost
